pt_code,brand,mfg_code,name,series,famiglia_catalogo,current_btu,proposed_btu,current_kw,catalog_kw,model_capacity_class,issue_type,evidence,confidence,auto_correctable
50457021,PANASONIC,CS-TZ60CKEW,UI TZ CS-TZ60CKEW,TZ SUPER COMPATTO,TZ SUPER COMPATTO,21000,21000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50457021"",""model"":""U.I. CS-TZ60CKEW"",""mpn"":""CS-TZ60CKEW"",""catalog_family"":""TZ CKE"",""page"":510,""confidence"":1.0}]",0.9,False
50207596,PANASONIC,CS-TZ60ZKEW,UI TZ CS-TZ60ZKEW,TZ SUPER COMPATTO,TZ SUPER COMPATTO,21000,21000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50207596"",""model"":""U.I. CS-TZ60ZKEW"",""mpn"":""CS-TZ60ZKEW"",""catalog_family"":""TZ"",""page"":510,""confidence"":1.0}]",0.9,False
50451005,PANASONIC,CS-TZ71CKEW,UI TZ CS-TZ71CKEW,TZ SUPER COMPATTO,TZ SUPER COMPATTO,24000,24000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50451005"",""model"":""U.I. CS-TZ71CKEW"",""mpn"":""CS-TZ71CKEW"",""catalog_family"":""TZ CKE"",""page"":510,""confidence"":1.0}]",0.9,False
50210565,PANASONIC,CS-TZ71ZKEW,UI TZ CS-TZ71ZKEW,TZ SUPER COMPATTO,TZ SUPER COMPATTO,24000,24000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50210565"",""model"":""U.I. CS-TZ71ZKEW"",""mpn"":""CS-TZ71ZKEW"",""catalog_family"":""TZ"",""page"":510,""confidence"":1.0}]",0.9,False
50369393,HISENSE,HB20XU0AG,UI UNI HB 20 HB20XU0AG,MULTI SPLIT 2AMW / 3AMW / 4AMW / 5AMW,MULTI SPLIT 2AMW / 3AMW / 4AMW / 5AMW,7000,7000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50369393"",""model"":""HB20XU0AG"",""mpn"":""HB20XU0AG"",""catalog_family"":""UNI HB"",""page"":549,""confidence"":1.0}]",0.9,False
50369409,HISENSE,HB25XU0AG,UI UNI HB 25 HB25XU0AG,AIR MASTER,AIR MASTER,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50369409"",""model"":""U.I. HB25XU0AG"",""mpn"":""HB25XU0AG"",""catalog_family"":""UNI HB"",""page"":548,""confidence"":1.0}]",0.9,False
50369416,HISENSE,HB35XU0AG,UI UNI HB 35 HB35XU0AG,AIR MASTER,AIR MASTER,12000,12000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50369416"",""model"":""U.I. HB35XU0AG"",""mpn"":""HB35XU0AG"",""catalog_family"":""UNI HB"",""page"":548,""confidence"":1.0}]",0.9,False
50369423,HISENSE,HB50BP0AG,UI UNI HB 50 HB50BP0AG,AIR MASTER,AIR MASTER,18000,18000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50369423"",""model"":""U.I. HB50BP0AG"",""mpn"":""HB50BP0AG"",""catalog_family"":""UNI HB"",""page"":548,""confidence"":1.0}]",0.9,False
50369430,HISENSE,HB70KW0AG,UI UNI HB 70 HB70KW0AG,AIR MASTER,AIR MASTER,24000,24000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50369430"",""model"":""U.I. HB70KW0AG"",""mpn"":""HB70KW0AG"",""catalog_family"":""UNI HB"",""page"":548,""confidence"":1.0}]",0.9,False
99390310,DAIKIN,FTXZ25N,UI URURU SARARA FTXZ25N,URURU SARARA,URURU SARARA,9000,9000,,,25,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99390310"",""model"":""U.I. FTXZ25N"",""mpn"":""FTXZ25N"",""catalog_family"":""URURU SARARA"",""page"":469,""confidence"":1.0}]",0.9,False
99390327,DAIKIN,FTXZ35N,UI URURU SARARA FTXZ35N,URURU SARARA,URURU SARARA,12000,12000,,,35,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99390327"",""model"":""U.I. FTXZ35N"",""mpn"":""FTXZ35N"",""catalog_family"":""URURU SARARA"",""page"":469,""confidence"":1.0}]",0.9,False
99390334,DAIKIN,FTXZ50N,UI URURU SARARA FTXZ50N,URURU SARARA,URURU SARARA,18000,18000,,,50,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99390334"",""model"":""U.I. FTXZ50N"",""mpn"":""FTXZ50N"",""catalog_family"":""URURU SARARA"",""page"":469,""confidence"":1.0}]",0.9,False
50382392,HITACHI,RPIH-4.0FSR1E,UI UTOPIA PRIME CANAL A/P RPIH-4.0FSR1E,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50382408,HITACHI,RPIH-5.0FSR1E,UI UTOPIA PRIME CANAL A/P RPIH-5.0FSR1E,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50382415,HITACHI,RPIH-6.0FSR1E,UI UTOPIA PRIME CANAL A/P RPIH-6.0FSR1E,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50381739,HITACHI,RPI-2.0FSR1E,UI UTOPIA PRIME CANAL M/P RPI-2.0FSR1E,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
